ticker,name,sector
BHP.AX,BHP Group,Materials
CBA.AX,Commonwealth Bank of Australia,Financials
CSL.AX,CSL Limited,Health Care
NAB.AX,National Australia Bank,Financials
WBC.AX,Westpac Banking Corp,Financials
ANZ.AX,ANZ Group Holdings,Financials
WES.AX,Wesfarmers,Consumer Staples
MQG.AX,Macquarie Group,Financials
GMG.AX,Goodman Group,Real Estate
FMG.AX,Fortescue,Materials
WDS.AX,Woodside Energy Group,Energy
TLS.AX,Telstra Group,Communication Services
WOW.AX,Woolworths Group,Consumer Staples
RIO.AX,Rio Tinto,Materials
TCL.AX,Transurban Group,Industrials
ALL.AX,Aristocrat Leisure,Consumer Discretionary
REA.AX,REA Group,Communication Services
QBE.AX,QBE Insurance Group,Financials
STO.AX,Santos,Energy
COL.AX,Coles Group,Consumer Staples
NST.AX,Northern Star Resources,Materials
XRO.AX,Xero,Information Technology
WTC.AX,WiseTech Global,Information Technology
SIG.AX,Sigma Healthcare,Health Care
FPH.AX,Fisher & Paykel Healthcare,Health Care
SUN.AX,Suncorp Group,Financials
PME.AX,Pro Medicus,Health Care
ORG.AX,Origin Energy,Energy
QAN.AX,Qantas Airways,Industrials
IAG.AX,Insurance Australia Group,Financials
BXB.AX,Brambles,Industrials
COH.AX,Cochlear,Health Care
S32.AX,South32,Materials
JHX.AX,James Hardie Industries,Materials
RMD.AX,ResMed,Health Care
SCG.AX,Scentre Group,Real Estate
MPL.AX,Medibank Private,Financials
ASX.AX,ASX Limited,Financials
FBU.AX,Fletcher Building,Materials
AMC.AX,Amcor,Materials
SHL.AX,Sonic Healthcare,Health Care
CPU.AX,Computershare,Information Technology
NEM.AX,Newmont Corporation,Materials
EVN.AX,Evolution Mining,Materials
TWE.AX,Treasury Wine Estates,Consumer Staples
CAR.AX,CAR Group,Communication Services
SOL.AX,Washington H Soul Pattinson,Financials
WOR.AX,Worley,Energy
APA.AX,APA Group,Utilities
MIN.AX,Mineral Resources,Materials
ORI.AX,Orica,Materials
RHC.AX,Ramsay Health Care,Health Care
VCX.AX,Vicinity Centres,Real Estate
YAL.AX,Yancoal Australia,Energy
GPT.AX,GPT Group,Real Estate
JBH.AX,JB Hi-Fi,Consumer Discretionary
DXS.AX,Dexus,Real Estate
SGP.AX,Stockland,Real Estate
MGR.AX,Mirvac Group,Real Estate
AGL.AX,AGL Energy,Utilities
SVW.AX,Seven Group Holdings,Industrials
QUB.AX,Qube Holdings,Industrials
LYC.AX,Lynas Rare Earths,Materials
BEN.AX,Bendigo & Adelaide Bank,Financials
BOQ.AX,Bank of Queensland,Financials
WHC.AX,Whitehaven Coal,Energy
NHC.AX,New Hope Corporation,Energy
ALX.AX,Atlas Arteria,Industrials
IPL.AX,Incitec Pivot,Materials
TPG.AX,TPG Telecom,Communication Services
SEK.AX,Seek,Communication Services
CWY.AX,Cleanaway Waste Management,Industrials
MFG.AX,Magellan Financial Group,Financials
FLT.AX,Flight Centre Travel Group,Consumer Discretionary
HVN.AX,Harvey Norman Holdings,Consumer Discretionary
PLS.AX,Pilbara Minerals,Materials
IGO.AX,IGO Limited,Materials
ALD.AX,Ampol,Energy
AZJ.AX,Aurizon Holdings,Industrials
CIA.AX,Champion Iron,Materials
BSL.AX,BlueScope Steel,Materials
NXT.AX,NextDC,Information Technology
ALU.AX,Altium,Information Technology
TNE.AX,Technology One,Information Technology
LLC.AX,Lendlease Group,Real Estate
DMP.AX,Domino's Pizza Enterprises,Consumer Discretionary
CTD.AX,Corporate Travel Management,Consumer Discretionary
PDN.AX,Paladin Energy,Energy
A2M.AX,The a2 Milk Company,Consumer Staples
ILU.AX,Iluka Resources,Materials
AWC.AX,Alumina,Materials
BPT.AX,Beach Energy,Energy
MTS.AX,Metcash,Consumer Staples
GNC.AX,GrainCorp,Consumer Staples
TLX.AX,Telix Pharmaceuticals,Health Care
CHC.AX,Charter Hall Group,Real Estate
NWL.AX,Netwealth Group,Financials
HUB.AX,HUB24,Financials
PNI.AX,Pinnacle Investment Management,Financials
PMV.AX,Premier Investments,Consumer Discretionary
JLG.AX,Johns Lyng Group,Industrials
ALQ.AX,ALS Limited,Industrials
REH.AX,Reece,Industrials
CGF.AX,Challenger,Financials
DOW.AX,Downer EDI,Industrials
NIC.AX,Nickel Industries,Materials
LTR.AX,Liontown Resources,Materials
SFR.AX,Sandfire Resources,Materials
RRL.AX,Regis Resources,Materials
PRU.AX,Perseus Mining,Materials
CMM.AX,Capricorn Metals,Materials
GOR.AX,Gold Road Resources,Materials
RED.AX,Red 5,Materials
EMR.AX,Emerald Resources,Materials
BGL.AX,Bellevue Gold,Materials
DEG.AX,De Grey Mining,Materials
WAF.AX,West African Resources,Materials
ORA.AX,Orora,Materials
ANN.AX,Ansell,Health Care
CSR.AX,CSR Limited,Materials
ARB.AX,ARB Corporation,Consumer Discretionary
BRG.AX,Breville Group,Consumer Discretionary
