ticker,name,sector,market
0700.HK,Tencent Holdings,Communication Services,Hong Kong
9988.HK,Alibaba Group,Consumer Discretionary,Hong Kong
0941.HK,China Mobile,Communication Services,Hong Kong
0005.HK,HSBC Holdings,Financials,Hong Kong
1299.HK,AIA Group,Financials,Hong Kong
0939.HK,China Construction Bank,Financials,Hong Kong
1398.HK,ICBC,Financials,Hong Kong
3690.HK,Meituan,Consumer Discretionary,Hong Kong
0388.HK,Hong Kong Exchanges,Financials,Hong Kong
2318.HK,Ping An Insurance,Financials,Hong Kong
1810.HK,Xiaomi,Information Technology,Hong Kong
0883.HK,CNOOC,Energy,Hong Kong
1211.HK,BYD,Consumer Discretionary,Hong Kong
9618.HK,JD.com,Consumer Discretionary,Hong Kong
2020.HK,ANTA Sports,Consumer Discretionary,Hong Kong
7203.T,Toyota Motor,Consumer Discretionary,Japan
6758.T,Sony Group,Consumer Discretionary,Japan
6861.T,Keyence,Information Technology,Japan
8306.T,Mitsubishi UFJ Financial,Financials,Japan
9984.T,SoftBank Group,Communication Services,Japan
6098.T,Recruit Holdings,Industrials,Japan
7974.T,Nintendo,Communication Services,Japan
8035.T,Tokyo Electron,Information Technology,Japan
6501.T,Hitachi,Industrials,Japan
9432.T,Nippon Telegraph & Telephone,Communication Services,Japan
4063.T,Shin-Etsu Chemical,Materials,Japan
6902.T,Denso,Consumer Discretionary,Japan
005930.KS,Samsung Electronics,Information Technology,Korea
000660.KS,SK Hynix,Information Technology,Korea
005380.KS,Hyundai Motor,Consumer Discretionary,Korea
051910.KS,LG Chem,Materials,Korea
035420.KS,NAVER,Communication Services,Korea
005490.KS,POSCO Holdings,Materials,Korea
2330.TW,TSMC,Information Technology,Taiwan
2317.TW,Hon Hai Precision,Information Technology,Taiwan
2454.TW,MediaTek,Information Technology,Taiwan
2412.TW,Chunghwa Telecom,Communication Services,Taiwan
2308.TW,Delta Electronics,Information Technology,Taiwan
D05.SI,DBS Group,Financials,Singapore
O39.SI,OCBC Bank,Financials,Singapore
U11.SI,United Overseas Bank,Financials,Singapore
Z74.SI,Singtel,Communication Services,Singapore
C6L.SI,Singapore Airlines,Industrials,Singapore
RELIANCE.NS,Reliance Industries,Energy,India
TCS.NS,Tata Consultancy Services,Information Technology,India
HDFCBANK.NS,HDFC Bank,Financials,India
INFY.NS,Infosys,Information Technology,India
ICICIBANK.NS,ICICI Bank,Financials,India
HINDUNILVR.NS,Hindustan Unilever,Consumer Staples,India
BHARTIARTL.NS,Bharti Airtel,Communication Services,India
000270.KS,Kia,Consumer Discretionary,Korea
207940.KS,Samsung Biologics,Health Care,Korea
006400.KS,Samsung SDI,Information Technology,Korea
051900.KS,LG H&H,Consumer Staples,Korea
035720.KS,Kakao,Communication Services,Korea
068270.KS,Celltrion,Health Care,Korea
105560.KS,KB Financial Group,Financials,Korea
055550.KS,Shinhan Financial Group,Financials,Korea
012330.KS,Hyundai Mobis,Consumer Discretionary,Korea
028260.KS,Samsung C&T,Industrials,Korea
066570.KS,LG Electronics,Consumer Discretionary,Korea
003550.KS,LG Corp,Industrials,Korea
015760.KS,Korea Electric Power,Utilities,Korea
017670.KS,SK Telecom,Communication Services,Korea
032830.KS,Samsung Life Insurance,Financials,Korea
086790.KS,Hana Financial Group,Financials,Korea
009150.KS,Samsung Electro-Mechanics,Information Technology,Korea
011200.KS,HMM,Industrials,Korea
010130.KS,Korea Zinc,Materials,Korea
316140.KS,Woori Financial Group,Financials,Korea
034730.KS,SK Inc,Industrials,Korea
090430.KS,Amorepacific,Consumer Staples,Korea
018260.KS,Samsung SDS,Information Technology,Korea
373220.KS,LG Energy Solution,Industrials,Korea
096770.KS,SK Innovation,Energy,Korea
259960.KS,Krafton,Communication Services,Korea
000810.KS,Samsung Fire & Marine,Financials,Korea
011170.KS,Lotte Chemical,Materials,Korea
9433.T,KDDI,Communication Services,Japan
8058.T,Mitsubishi Corp,Industrials,Japan
8031.T,Mitsui & Co,Industrials,Japan
8001.T,Itochu,Industrials,Japan
8053.T,Sumitomo Corp,Industrials,Japan
8002.T,Marubeni,Industrials,Japan
6367.T,Daikin Industries,Industrials,Japan
4519.T,Chugai Pharmaceutical,Health Care,Japan
4568.T,Daiichi Sankyo,Health Care,Japan
4502.T,Takeda Pharmaceutical,Health Care,Japan
7267.T,Honda Motor,Consumer Discretionary,Japan
7269.T,Suzuki Motor,Consumer Discretionary,Japan
7201.T,Nissan Motor,Consumer Discretionary,Japan
6594.T,Nidec,Information Technology,Japan
6981.T,Murata Manufacturing,Information Technology,Japan
